"","RNA","ATAC"
"1071","Btn1a1",NA
"1072","Tmem120b",NA
"1073","AB124611",NA
"1074","Igha",NA
"1075","Lgals3",NA
"1076","Pgap1",NA
"1077","Wdr7",NA
"1078","Perm1",NA
"1079","Ear6",NA
"1080","Mkln1",NA
"1081","Slc22a21",NA
"1082","Esco2",NA
"1083","mt-Nd6",NA
"1084","Rps6ka1",NA
"1085","Tank",NA
"1086","Abcb9",NA
"1087","Ppp4r3b",NA
"1088","mt-Nd5",NA
"1089","Slfn5",NA
"1090","N4bp2l2",NA
"1091","Zkscan14",NA
"1092","Dnm2",NA
"1093","Gm38375",NA
"1094","Lrrk2",NA
"1095","2810030D12Rik",NA
"1096","Nipbl",NA
"1097","Ncapg2",NA
"1098","Spsb3",NA
"1099","1810053B23Rik",NA
"1100","Glipr2",NA
"1101","B3gnt3",NA
"1102","Ighg3",NA
"1103","Syf2",NA
"1104","H2ac15",NA
"1105","Nedd9",NA
"1106","Clspn",NA
"1107","Degs1",NA
"1108","Dyrk1a",NA
"1109","Atad2b",NA
"1110","Lrrc29",NA
"1111","Sdc3",NA
"1112","Gstm1",NA
"1113","Zfp672",NA
"1114","Tmem183a",NA
"1115","Susd6",NA
"1116","Asap1",NA
"1117","C2cd5",NA
"1118","C330018D20Rik",NA
"1119","Atg12",NA
"1120","Gm12403",NA
"1121","Pilrb1",NA
"1122","Lmtk2",NA
"1123","Cldn15",NA
"1124","Prg3",NA
"1125","Nsd3",NA
"1126","Gm42743",NA
"1127","Phyhip",NA
"1128","Gvin2",NA
"1129","Gm10371",NA
"1130","Gm11440",NA
"1131","Brinp2",NA
"1132","Ncoa4-ps",NA
"1133","Niban1",NA
"1134","Igkv14-126",NA
"1135","Ppp1r37",NA
"1136","9830144P21Rik",NA
"1137","Cxcr4",NA
"1138","Selenop",NA
"1139","Pon2",NA
"1140","Dpm1",NA
"1141","Ttc39aos1",NA
"1142","Slc25a21",NA
"1143","Mst1",NA
"1144","Ntn4",NA
"1145","H3c13",NA
"1146","Ccng2",NA
"1147","Strn3",NA
"1148","Mau2",NA
"1149","Kbtbd12",NA
"1150","Epg5",NA
"1151","Lsp1",NA
"1152","Nup153",NA
"1153","Wdr91",NA
"1154","Ppp2r1b",NA
"1155","Fam78a",NA
"1156","5031425E22Rik",NA
"1157","Rgl1",NA
"1158","Ddx3y",NA
"1159","Vbp1",NA
"1160","Parp16",NA
"1161","Parvb",NA
"1162","Ints13",NA
"1163","Cdyl",NA
"1164","Ccnf",NA
"1165","Marchf1",NA
"1166","Alox15",NA
"1167","Siah1a",NA
"1168","Cnot4",NA
"1169","Gsn",NA
"1170","Fam205a1",NA
"1171","Gm45837",NA
"1172","Ctsc",NA
"1173","Dhx8",NA
"1174","1110032A03Rik",NA
"1175","Frs2",NA
"1176","Tmx4",NA
"1177","Gm13340",NA
"1178","Pip4k2a",NA
"1179","Nmnat3",NA
"1180","Supt4a",NA
"1181","Rab6a",NA
"1182","9430034N14Rik",NA
"1183","Atp6v0d1",NA
"1184","Msr1",NA
"1185","Ptafr",NA
"1186","Tmem14c",NA
"1187","Relt",NA
"1188","Pitpnm1",NA
"1189","Ets1",NA
"1190","Olfml2b",NA
"1191","2500002B13Rik",NA
"1192","Ybx3",NA
"1193","Gm9104",NA
"1194","Zmym1",NA
"1195","Shld1",NA
"1196","Herc4",NA
"1197","Spata13",NA
"1198","Kdm5a",NA
"1199","Plekho2",NA
"1200","Gm16538",NA
"1201","Cep95",NA
"1202","Ctsf",NA
"1203","Snora52",NA
"1204","Cyb5r3",NA
"1205","Lysmd3",NA
"1206","Icam5",NA
"1207","Ralgapa2",NA
"1208","Mxd3",NA
"1209","Clec7a",NA
"1210","Med20",NA
"1211","Gm20517",NA
"1212","Cd74",NA
"1213","Ppp1r15b",NA
"1214","mt-Nd4",NA
"1215","Tmem59",NA
"1216","Cebpe",NA
"1217","Syt14",NA
"1218","Irak2",NA
"1219","Cramp1",NA
"1220","Rasgrp4",NA
"1221","Gse1",NA
"1222","S100a6",NA
"1223","Hvcn1",NA
"1224","Siglec1",NA
"1225","Samd11",NA
"1226","Oas2",NA
"1227","Wac",NA
"1228","Donson",NA
"1229","Amfr",NA
"1230","Ndst2",NA
"1231","Vwf",NA
"1232","Thbs1",NA
"1233","Vezt",NA
"1234","Mybl2",NA
"1235","2310015A10Rik",NA
"1236","Il36g",NA
"1237","Gpr155",NA
"1238","Rad21",NA
"1239","Gm37847",NA
"1240","Gm31748",NA
"1241","Aup1",NA
"1242","Cmc4",NA
"1243","Klhdc2",NA
"1244","Hook3",NA
"1245","Gm15564",NA
"1246","Nucb2",NA
"1247","Scarna6",NA
"1248","Pgs1",NA
"1249","Zfp39",NA
"1250","Wbp2",NA
"1251","Zfp950",NA
"1252","Popdc2",NA
"1253","Mgl2",NA
"1254","Wipi1",NA
"1255","H2ac10",NA
"1256","Lrg1",NA
"1257","Cadm3",NA
"1258","Arhgef37",NA
"1259","Adcy6",NA
"1260","Fabp4",NA
"1261","Akap8l",NA
"1262","Jmy",NA
"1263","Gm10721",NA
"1264","Tlr8",NA
"1265","Tbc1d8",NA
"1266","Snora20",NA
"1267","Septin5",NA
"1268","Gas7",NA
"1269","Ppm1b",NA
"1270","A530064D06Rik",NA
"1271","Ighg1",NA
"1272","Ogdh",NA
"1273","Sertad1",NA
"1274","Olfm4",NA
"1275","H1f5",NA
"1276","Ighv11-2",NA
"1277","Ppm1a",NA
"1278","Ufsp1",NA
"1279","Serpinb6b",NA
"1280","Zfp341",NA
"1281","Fancd2",NA
"1282","Synb",NA
"1283","Trpv5",NA
"1284","Cfp",NA
"1285","Prkar2b",NA
"1286","Gm11439",NA
"1287","Kctd9",NA
"1288","Ramac",NA
"1289","Ctcflos",NA
"1290","Anxa2",NA
"1291","Mmp25",NA
"1292","Lin28a",NA
"1293","Inpp5k",NA
"1294","Fgd4",NA
"1295","Clp1",NA
"1296","Tet3",NA
"1297","H2bc15",NA
"1298","Gm20712",NA
"1299","1700102P08Rik",NA
"1300","Klf1",NA
"1301","Hexim1",NA
"1302","Bcas3os1",NA
"1303","Ube4a",NA
"1304","Mavs",NA
"1305","Ccdc125",NA
"1306","Rgcc",NA
"1307","Gab3",NA
"1308","Peli1",NA
"1309","H3f3a",NA
"1310","Bola3",NA
"1311","Gm6741",NA
"1312","Chmp2a",NA
"1313","Sorbs1",NA
"1314","Mmel1",NA
"1315","Ccne2",NA
"1316","Zfand2b",NA
"1317","Sirt7",NA
"1318","Rpl13-ps1",NA
"1319","Ccni",NA
"1320","Pttg1ip",NA
"1321","H2bc6",NA
"1322","Gm12238",NA
"1323","Dok1",NA
"1324","Runx1",NA
"1325","Jak1",NA
"1326","Bst1",NA
"1327","Zfp335",NA
"1328","Tbc1d17",NA
"1329","Gm22009",NA
"1330","Pip4p1",NA
"1331","Tspyl1",NA
"1332","Cert1",NA
"1333","Mss51",NA
"1334","Snora17",NA
"1335","Btg1",NA
"1336","Ly75",NA
"1337","Olr1",NA
"1338","Mturn",NA
"1339","Ldlrad4",NA
"1340","Arhgap19",NA
"1341","Gatad2b",NA
"1342","Capn5",NA
"1343","Nub1",NA
"1344","Mynn",NA
"1345","Aknad1",NA
"1346","Atg4a-ps",NA
"1347","Capn1",NA
"1348","Ranbp2",NA
"1349","Kif14",NA
"1350","Rap1a",NA
"1351","Cracd",NA
"1352","Uty",NA
"1353","Luc7l3",NA
"1354","Atf6",NA
"1355","Ms4a7",NA
"1356","Cep85",NA
"1357","Ankrd13c",NA
"1358","1700034H15Rik",NA
"1359","Cr1l",NA
"1360","Usp18",NA
"1361","Gm37568",NA
"1362","Gm15815",NA
"1363","Atp6ap1",NA
"1364","B4galt1",NA
"1365","Atp6v1b2",NA
"1366","Kif1b",NA
"1367","Rap1gap2",NA
"1368","Dmxl2",NA
"1369","Ifi207",NA
"1370","Cenpq",NA
"1371","Eif2s3y",NA
"1372","Fcgr1",NA
"1373","Gm20661",NA
"1374","Mocos",NA
"1375","Igtp",NA
"1376","Gm10222",NA
"1377","Slc2a4",NA
"1378","Lta4h",NA
"1379","Pcif1",NA
"1380","Kif18b",NA
"1381","Htatip2",NA
"1382","Rnf114",NA
"1383","Jak2",NA
"1384","Rnmt",NA
"1385","Ovgp1",NA
"1386","Fam114a2",NA
"1387","Cnep1r1",NA
"1388","Hbq1a",NA
"1389","Plekhf2",NA
"1390","Eps15l1",NA
"1391","6030468B19Rik",NA
"1392","Maf",NA
"1393","Rfx2",NA
"1394","5530601H04Rik",NA
"1395","Rbm39",NA
"1396","H2ac22",NA
"1397","Agps",NA
"1398","Plekha4",NA
"1399","Prdx3",NA
"1400","Chmp3",NA
"1401","Pid1",NA
"1402","Gm25813",NA
"1403","Gm37101",NA
"1404","Dhrs7",NA
"1405","Zfp346",NA
"1406","Igkv15-103",NA
"1407","Gigyf2",NA
"1408","Rn7s6",NA
"1409","Gm20682",NA
"1410","Gm26205",NA
"1411","Larp1b",NA
"1412","Gm9726",NA
"1413","Sfswap",NA
"1414","Stam",NA
"1415","Tyrobp",NA
"1416","Pkd1l1",NA
"1417","Pmm2",NA
"1418","1700037H04Rik",NA
"1419","Tsc22d4",NA
"1420","Atg4b",NA
"1421","Hmgn2",NA
"1422","Pilrb2",NA
"1423","Prtn3",NA
"1424","Ergic2",NA
"1425","Vnn3",NA
"1426","Rph3al",NA
"1427","Sipa1",NA
"1428","Ifi27",NA
"1429","Socs4",NA
"1430","Ccnb2",NA
"1431","Dmtn",NA
"1432","Carm1",NA
"1433","Irgm1",NA
"1434","Gm6091",NA
"1435","Sp4",NA
"1436","Nsd2",NA
"1437","Gm2810",NA
"1438","Slc25a24",NA
"1439","Arnt",NA
"1440","Pigc",NA
"1441","Cdc6",NA
"1442","Aftph",NA
"1443","Clec12a",NA
"1444","Itm2b",NA
"1445","Brd8",NA
"1446","Gm24616",NA
"1447","Mknk1",NA
"1448","Srsf1",NA
"1449","Lyl1",NA
"1450","Sirpb1c",NA
"1451","Cdkn2c",NA
"1452","Szt2",NA
"1453","Gm8251",NA
"1454","Gm20633",NA
"1455","Tecta",NA
"1456","Herpud2",NA
"1457","Il1r2",NA
"1458","Tlcd4",NA
"1459","Soat1",NA
"1460","Kif4",NA
"1461","Arid4a",NA
"1462","2310022B05Rik",NA
"1463","Txnip",NA
"1464","S100a4",NA
"1465","Ensa",NA
"1466","Myo1f",NA
"1467","Pard3",NA
"1468","Siglece",NA
"1469","Timd4",NA
"1470","Mast2",NA
"1471","Pip4k2c",NA
"1472","Asb3",NA
"1473","Pcmtd1",NA
"1474","Mafb",NA
"1475","Cish",NA
"1476","Jund",NA
"1477","H2bu2",NA
"1478","Trip12",NA
"1479","Elk4",NA
"1480","Gm6061",NA
"1481","Id2",NA
"1482","Gm16113",NA
"1483","Retreg2",NA
"1484","Gm37215",NA
"1485","Skint3",NA
"1486","Cd200r3",NA
"1487","Gm12999",NA
"1488","Azi2",NA
"1489","Dnajc28",NA
"1490","Stab2",NA
"1491","Gm29718",NA
"1492","Coq10b",NA
"1493","Gm15892",NA
"1494","Lipa",NA
"1495","Pacs2",NA
"1496","Ikzf5",NA
"1497","Pglyrp1",NA
"1498","Etfbkmt",NA
"1499","Naaa",NA
"1500","Selenot",NA
"1501","Nemf",NA
"1502","Crlf3",NA
"1503","Trim44",NA
"1504","Syvn1",NA
"1505","Clec4a2",NA
"1506","Gm28530",NA
"1507","Alms1",NA
"1508","H4f16",NA
"1509","Ssbp3",NA
"1510","Ralbp1",NA
"1511","Gm37158",NA
"1512","Tbce",NA
"1513","Ankle1",NA
"1514","Csnk1a1",NA
"1515","Snord94",NA
"1516","Sp3",NA
"1517","Taf4",NA
"1518","1600020E01Rik",NA
"1519","Gmeb2",NA
"1520","Mettl5",NA
"1521","Wnk4",NA
"1522","Mob2",NA
"1523","Tlk1",NA
"1524","Ms4a4c",NA
"1525","Micall2",NA
"1526","B4galt6",NA
"1527","Fhip1b",NA
"1528","Igf1",NA
"1529","Adcy10",NA
"1530","Cyb5r1",NA
"1531","Dclre1b",NA
"1532","Tlcd5",NA
"1533","Lats2",NA
"1534","Abcg3",NA
"1535","Pfkfb4",NA
"1536","Sde2",NA
"1537","Ceacam1",NA
"1538","Cdk8",NA
"1539","Slc23a1",NA
"1540","Josd2",NA
"1541","4833420G17Rik",NA
"1542","Ndel1",NA
"1543","Dgat2",NA
"1544","Eloa",NA
"1545","Gm3513",NA
"1546","Kmt5b",NA
"1547","Fam104a",NA
"1548","Snora57",NA
"1549","Stat2",NA
"1550","Cercam",NA
"1551","G6pdx",NA
"1552","Cyp4b1-ps2",NA
"1553","Chkb",NA
"1554","Rsrc2",NA
"1555","Pik3ca",NA
"1556","Naip2",NA
"1557","H2bc24",NA
"1558","Tsnaxip1",NA
"1559","Tlnrd1",NA
"1560","Hk1",NA
"1561","C730036E19Rik",NA
"1562","Mad2l1bp",NA
"1563","Gm24411",NA
"1564","Tapt1",NA
"1565","Map2k3",NA
"1566","Tspoap1",NA
"1567","Ddx6",NA
"1568","Rnf20",NA
"1569","Teddm2",NA
"1570","Galnt9",NA
"1571","Wdhd1",NA
"1572","Hbs1l",NA
"1573","Crispld2",NA
"1574","Snora44",NA
"1575","Bnip3l-ps",NA
"1576","Prc1",NA
"1577","Ambra1",NA
"1578","Trp53bp1",NA
"1579","Csf2ra",NA
"1580","Plek2",NA
"1581","Abhd16a",NA
"1582","Serpinb9",NA
"1583","Gm20662",NA
"1584","Tmem134",NA
"1585","Gm10177",NA
"1586","Ccne1",NA
"1587","Gm16565",NA
"1588","9330159M07Rik",NA
"1589","Gm7399",NA
"1590","Adgre5",NA
"1591","Gm11934",NA
"1592","Sema6d",NA
"1593","Golim4",NA
"1594","Nlgn3",NA
"1595","Samd9l",NA
"1596","Gpsm2",NA
"1597","Tmcc1",NA
"1598","Mcmdc2",NA
"1599","Zmym5",NA
"1600","Tnk2",NA
"1601","Taf8",NA
"1602","Adam33",NA
"1603","Akt2",NA
"1604","Hp1bp3",NA
"1605","Yme1l1",NA
"1606","Lockd",NA
"1607","Tcf19",NA
"1608","Sqor",NA
"1609","Anln",NA
"1610","Arhgap21",NA
"1611","Fbxl20",NA
"1612","Exoc3l",NA
"1613","Hyal1",NA
"1614","Senp2",NA
"1615","Vrk2",NA
"1616","Gm11168",NA
"1617","Megf9",NA
"1618","Dok4",NA
"1619","Tlr4",NA
"1620","Gm28043",NA
"1621","Eif5a2",NA
"1622","Gm16001",NA
"1623","Slc6a20b",NA
"1624","Zfp655",NA
"1625","Aoc3",NA
"1626","Pnpla7",NA
"1627","H2ac7",NA
"1628","Rabgef1",NA
"1629","Spop",NA
"1630","Gm29253",NA
"1631","Sat1",NA
"1632","Ehd1",NA
"1633","Ckap4",NA
"1634","Mtf1",NA
"1635","Cd55",NA
"1636","Clcn1",NA
"1637","Fpr1",NA
"1638","H4c9",NA
"1639","Suds3",NA
"1640","Il10rb",NA
"1641","Pi16",NA
"1642","Chd7",NA
"1643","Cdkn3",NA
"1644","4930518I15Rik",NA
"1645","Slbp",NA
"1646","AI480526",NA
"1647","Gm9945",NA
"1648","Mmp21",NA
"1649","Pnkp",NA
"1650","Btbd7",NA
"1651","Oaz1",NA
"1652","Ace",NA
"1653","Ccna2",NA
"1654","Slc11a1",NA
"1655","Srrm2",NA
"1656","Pyurf",NA
"1657","Ddi2",NA
"1658","Fhip2b",NA
"1659","Slc7a11",NA
"1660","Ighv1-64",NA
"1661","Gm37328",NA
"1662","Gm24119",NA
"1663","Gm10722",NA
"1664","Rab11b",NA
"1665","Cd86",NA
"1666","Cblb",NA
"1667","5430405H02Rik",NA
"1668","Ttc39a",NA
"1669","Mageb16",NA
"1670","Zbtb11",NA
"1671","Ascc3",NA
"1672","Zfp101",NA
"1673","Ncapd3",NA
"1674","Tlr13",NA
"1675","Mertk",NA
"1676","Ccp110",NA
"1677","Fnbp4",NA
"1678","Fcgrt",NA
"1679","Rnu11",NA
"1680","5330416C01Rik",NA
"1681","Clca3a1",NA
"1682","4930426L09Rik",NA
"1683","Parp12",NA
"1684","Suox",NA
"1685","F10",NA
"1686","Phaf1",NA
"1687","Crnkl1",NA
"1688","Nemp1",NA
"1689","Hacd4",NA
"1690","Usp45",NA
"1691","Cspp1",NA
"1692","Nrf1",NA
"1693","Fgf1",NA
"1694","Actn1",NA
"1695","Abcd2",NA
"1696","Gm13542",NA
"1697","Nfam1",NA
"1698","Trem1",NA
"1699","Gfi1",NA
"1700","Parp10",NA
"1701","Vkorc1l1",NA
"1702","Spag5",NA
"1703","Cstdc4",NA
"1704","H2bc4",NA
"1705","Gm38227",NA
"1706","Serpinb1a",NA
"1707","Serping1",NA
"1708","Slc11a2",NA
"1709","Tmc3",NA
"1710","Pnrc2",NA
"1711","Agfg2",NA
"1712","Copz1",NA
"1713","Ap1s2",NA
"1714","Kpna1",NA
"1715","Cbx7",NA
"1716","Lyrm9",NA
"1717","Ift57",NA
"1718","Msrb1",NA
"1719","Sesn2",NA
"1720","Pan3",NA
"1721","Nde1",NA
"1722","Gm15956",NA
"1723","Fbxo33",NA
"1724","Ighv2-9",NA
"1725","Sf3b1",NA
"1726","Rab5a",NA
"1727","Iglc2",NA
"1728","6720464F23Rik",NA
"1729","Gnal",NA
"1730","Celf1",NA
"1731","Aoah",NA
"1732","Il13ra1",NA
"1733","Tenm4",NA
"1734","Orc1",NA
"1735","Rpap2",NA
"1736","Cmbl",NA
"1737","Snora61",NA
"1738","Luc7l2",NA
"1739","Crybg1",NA
"1740","Vwa5a",NA
"1741","Dyrk1b",NA
"1742","Ighm",NA
"1743","Tmsb4x",NA
"1744","Abtb2",NA
"1745","Serpinb6a",NA
"1746","Wipf2",NA
"1747","Trpm2",NA
"1748","Apol11b",NA
"1749","Ankrd36",NA
"1750","Snora28",NA
"1751","Sp140",NA
"1752","Ackr3",NA
"1753","Gm9733",NA
"1754","Kntc1",NA
"1755","Pdpk1",NA
"1756","Vegfd",NA
"1757","Il1rn",NA
"1758","Lamp1",NA
"1759","Gabpb2",NA
"1760","Ifi211",NA
"1761","Klra2",NA
"1762","Gm13341",NA
"1763","Rfwd3",NA
"1764","Ewsr1",NA
"1765","9330160F10Rik",NA
"1766","Dse",NA
"1767","Gm37420",NA
"1768","Gm3287",NA
"1769","Ncf4",NA
"1770","Uso1",NA
"1771","Pltp",NA
"1772","Gm26448",NA
"1773","Zwint",NA
"1774","Ifit1",NA
"1775","2600006K01Rik",NA
"1776","Fntb",NA
"1777","Mob1a",NA
"1778","Cxcl12",NA
"1779","Arid3a",NA
"1780","Grn",NA
"1781","Lig1",NA
"1782","Oas1e",NA
"1783","Ube2c",NA
"1784","Ikbkg",NA
"1785","Rsph10b",NA
"1786","Acbd4",NA
"1787","Scaf8",NA
"1788","H2ac6",NA
"1789","Ppp3cb",NA
"1790","Derl1",NA
"1791","Bcl6",NA
"1792","Srxn1",NA
"1793","Pla2g7",NA
"1794","Clec4b1",NA
"1795","Hdc",NA
"1796","Slu7",NA
"1797","Slc7a2",NA
"1798","Crebzf",NA
"1799","Lnpk",NA
"1800","Far2",NA
"1801","Casq2",NA
"1802","Hsd11b1",NA
"1803","Sun2",NA
"1804","Sri",NA
"1805","Parp9",NA
"1806","Cd46",NA
"1807","Reep5",NA
"1808","Pepd",NA
"1809","Apol8",NA
"1810","Gm10801",NA
"1811","Gm11525",NA
"1812","Gm2531",NA
"1813","Tatdn1",NA
"1814","2810013P06Rik",NA
"1815","F13a1",NA
"1816","Ibsp",NA
"1817","Dync1li2",NA
"1818","Mcoln1",NA
"1819","Gm24888",NA
"1820","Amotl2",NA
"1821","E2f7",NA
"1822","Lrp4",NA
"1823","Fcer1g",NA
"1824","Gm22973",NA
"1825","Kdm5b",NA
"1826","Dnajc10",NA
"1827","Gm9949",NA
"1828","Gm37529",NA
"1829","Tgm2",NA
"1830","Gm25492",NA
"1831","Cdh11",NA
"1832","Mefv",NA
"1833","Mapre2",NA
"1834","Cnst",NA
"1835","Glt1d1",NA
"1836","2700049A03Rik",NA
"1837","Cd300lb",NA
"1838","Ggps1",NA
"1839","Trim30b",NA
"1840","4833439L19Rik",NA
"1841","Tab2",NA
"1842","Ddx5",NA
"1843","Gbe1",NA
"1844","H3c15",NA
"1845","Hjurp",NA
"1846","Ppp1r13b",NA
"1847","Siglecg",NA
"1848","Ifi30",NA
"1849","Sec23a",NA
"1850","Gm37212",NA
"1851","Dgat1",NA
"1852","Gm24523",NA
"1853","Ube2s",NA
"1854","H2bc23",NA
"1855","Pld4",NA
"1856","Ubtf",NA
"1857","Tnc",NA
"1858","Nqo1",NA
"1859","Prkab1",NA
"1860","Trim34a",NA
"1861","Vamp2",NA
"1862","Cdca3",NA
"1863","Msl2",NA
"1864","Golga2",NA
"1865","Rbm18",NA
"1866","Acrbp",NA
"1867","Selenok",NA
"1868","Abcb7",NA
"1869","Entpd1",NA
"1870","Pla2g4c",NA
"1871","Med7",NA
"1872","Incenp",NA
"1873","Ube3b",NA
"1874","Gm13053",NA
"1875","Fam210a",NA
"1876","Brcc3",NA
"1877","Gm12102",NA
"1878","Pira12",NA
"1879","Septin8",NA
"1880","Ppwd1",NA
"1881","Snx32",NA
"1882","Mier3",NA
"1883","Arrdc2",NA
"1884","Ifit1bl1",NA
"1885","Dgcr8",NA
"1886","Bmx",NA
"1887","Chuk",NA
"1888","Birc2",NA
"1889","Eef2k",NA
"1890","Wdr66",NA
"1891","Kmt5a",NA
"1892","Gstt1",NA
"1893","E230016M11Rik",NA
"1894","Gm22748",NA
"1895","Gm25635",NA
"1896","Necap2",NA
"1897","Zfyve1",NA
"1898","Cep290",NA
"1899","Sdf4",NA
"1900","Helb",NA
"1901","Tnip1",NA
"1902","Chp2",NA
"1903","Atp6v1d",NA
"1904","Dmpk",NA
"1905","4930430F08Rik",NA
"1906","Vcan",NA
"1907","Serpinb10",NA
"1908","Alox5ap",NA
"1909","Tlk2",NA
"1910","Eef1d",NA
"1911","Cop1",NA
"1912","Arpc5",NA
"1913","Rmrp",NA
"1914","Snora33",NA
"1915","H2ac20",NA
"1916","Cers6",NA
"1917","Kcnj2",NA
"1918","Ptgs1",NA
"1919","Ccdc141",NA
"1920","Gm24451",NA
"1921","Tmem234",NA
"1922","Ccr1l1",NA
"1923","Rab3d",NA
"1924","Neu1",NA
"1925","A330032B11Rik",NA
"1926","L1cam",NA
"1927","Gm38120",NA
"1928","Padi4",NA
"1929","Ap3m1",NA
"1930","Snora64",NA
"1931","Atp6v0d2",NA
"1932","Gm9788",NA
"1933","Rab5c",NA
"1934","S100a11",NA
"1935","Mrap",NA
"1936","Klhl24",NA
"1937","Igkv6-20",NA
"1938","Igkv12-46",NA
"1939","Rnu12",NA
"1940","1700017B05Rik",NA
"1941","Kcna2",NA
"1942","Aim2",NA
"1943","Cchcr1",NA
"1944","Epc1",NA
"1945","Snora23",NA
"1946","Mob1b",NA
"1947","Gm28512",NA
"1948","Susd2",NA
"1949","Snord15b",NA
"1950","Ift46",NA
"1951","Dok3",NA
"1952","Cotl1",NA
"1953","Acp5",NA
"1954","H2-Aa",NA
"1955","Cript",NA
"1956","Gm21986",NA
"1957","Sphk1",NA
"1958","Cap1",NA
"1959","Pfkfb1",NA
"1960","Apoc2",NA
"1961","Daglb",NA
"1962","Ccdc6",NA
"1963","Arih1",NA
"1964","Mfsd14b",NA
"1965","Sycp2",NA
"1966","Esyt2",NA
"1967","Xbp1",NA
"1968","Cmip",NA
"1969","Col14a1",NA
"1970","Ap2a1",NA
"1971","Adap2",NA
"1972","9530026F06Rik",NA
"1973","Maml1",NA
"1974","Phip",NA
"1975","Cyp4f18",NA
"1976","Col9a3",NA
"1977","Herpud1",NA
"1978","Clpx",NA
"1979","Smim1",NA
"1980","Abat",NA
"1981","Eif2ak2",NA
"1982","Cxadr",NA
"1983","Ankrd65",NA
"1984","Cep135",NA
"1985","Hmgb2",NA
"1986","Arhgdib",NA
"1987","Edem1",NA
"1988","Naprt",NA
"1989","Gm20634",NA
"1990","Cul3",NA
"1991","Atp6ap2",NA
"1992","Golga1",NA
"1993","Acpp",NA
"1994","Gm28941",NA
"1995","Abcc3",NA
"1996","Poldip3",NA
"1997","Kmt2b",NA
"1998","Gm23238",NA
"1999","Hk3",NA
"2000","Kmt2e",NA
"2001","Jpt1",NA
"2002","Klrc1",NA
"2003","Pck2",NA
"2004","Ash1l",NA
"2005","Kifc5b",NA
"2006","Anxa3",NA
"2007","Plaur",NA
"2008","Adgrf5",NA
"2009","Gm37809",NA
"2010","Trp53inp2",NA
"2011","Arrb2",NA
"2012","Gm37397",NA
"2013","Cx3cr1",NA
"2014","Mtmr14",NA
"2015","Glrx",NA
"2016","Cx3cl1",NA
"2017","Rnd3",NA
"2018","Gm5150",NA
"2019","Gm16278",NA
"2020","Gm17146",NA
"2021","Etohd2",NA
"2022","Fas",NA
"2023","Wfdc3",NA
"2024","Klc4",NA
"2025","Grtp1",NA
"2026","Fads3",NA
"2027","Tmem154",NA
"2028","Myo15",NA
"2029","Reln",NA
"2030","Mknk2",NA
"2031","Bcorl1",NA
"2032","Syt6",NA
"2033","Akt1s1",NA
"2034","Slco4c1",NA
"2035","mt-Nd2",NA
"2036","S1pr5",NA
"2037","Eif1",NA
"2038","Rnf181",NA
"2039","Eps15",NA
"2040","Eif4ebp2",NA
"2041","Cyp11a1",NA
"2042","Smg5",NA
"2043","Gm15886",NA
"2044","Nfe2l1",NA
"2045","Map3k15",NA
"2046","Prr13",NA
"2047","Nploc4",NA
"2048","Fdft1",NA
"2049","Rgs6",NA
"2050","Ppp1r42",NA
"2051","Zcchc4",NA
"2052","Ostf1",NA
"2053","Ndrg2",NA
"2054","Insr",NA
"2055","Aars",NA
"2056","Olfr67",NA
"2057","Gm37589",NA
"2058","Gm22620",NA
"2059","Pou2f1",NA
"2060","Slc25a44",NA
"2061","Slc31a2",NA
"2062","Clec4a1",NA
"2063","Igkv9-120",NA
"2064","Cebpd",NA
"2065","Sncaip",NA
"2066","Ap2b1",NA
"2067","Cebpg",NA
"2068","C430014B12Rik",NA
"2069","Ccdc24",NA
"2070","2610020C07Rik",NA
"2071","Frem3",NA
"2072","Dido1",NA
"2073","Srrt",NA
"2074","Dennd2a",NA
"2075","Slk",NA
"2076","Gm10720",NA
"2077","Gm37463",NA
"2078","Gm37262",NA
"2079","Dnm3",NA
"2080","Tmem88b",NA
"2081","Slc2a3",NA
"2082","Arhgap1",NA
"2083","Gm22357",NA
"2084","Csf2rb",NA
"2085","Apobr",NA
"2086","Asb11",NA
"2087","Fbrsl1",NA
"2088","Fblim1",NA
"2089","Thsd7b",NA
"2090","Dpp8",NA
"2091","Cerkl",NA
"2092","Trim25",NA
"2093","Ccno",NA
"2094","Igkv10-96",NA
"2095","Rab11fip4",NA
"2096","Cox11",NA
"2097","Scly",NA
"2098","Nlrp12",NA
"2099","Sh3yl1",NA
"2100","Gnas",NA
"2101","Gm29562",NA
"2102","Mpst",NA
"2103","Zup1",NA
"2104","Gm11839",NA
"2105","Pgm2l1",NA
"2106","Gm10603",NA
"2107","Chrna1",NA
"2108","Cldn1",NA
"2109","Tpx2",NA
"2110","Mgst2",NA
"2111","Tacc3",NA
"2112","Ube4b",NA
"2113","Ctsg",NA
"2114","Bud31",NA
"2115","Lima1",NA
"2116","Knl1",NA
"2117","Brd8dc",NA
"2118","Pspc1",NA
"2119","Rnf216",NA
"2120","Gm37216",NA
"2121","Tuba1c",NA
"2122","Bcl2a1a",NA
"2123","Gm37080",NA
"2124","Kcnj10",NA
"2125","Dnase1l1",NA
"2126","Atad5",NA
"2127","Tm7sf3",NA
"2128","Zscan29",NA
"2129","Slc35b1",NA
"2130","Crbn",NA
"2131","Cyba",NA
"2132","Plagl2",NA
"2133","Pex19",NA
