,Gene,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
8160,ENSMUSG00000035472,Slc25a21,993.0077691,3.788370446,1.081627695,3.502471749,0.000460963,0.025407857
13194,ENSMUSG00000064354,mt-Co2,9420.857485,4.310966182,1.231771092,3.499811135,0.000465588,0.025543471
15619,ENSMUSG00000085603,Gm11346,37.04249008,-8.03039176,2.294799298,-3.499387404,0.000466329,0.025543471
3782,ENSMUSG00000024663,Rab3il1,6959.674094,5.5688074,1.592033221,3.497921606,0.000468899,0.025604503
7181,ENSMUSG00000032278,Paqr5,293.3772122,-5.032723832,1.439544449,-3.496053099,0.000472195,0.025694316
11949,ENSMUSG00000054135,A430110L20Rik,1014.202263,5.614166811,1.606188282,3.495335431,0.000473466,0.025694316
6036,ENSMUSG00000029613,Eif2ak1,28085.05255,5.054708559,1.446674906,3.494018275,0.000475808,0.025741969
5318,ENSMUSG00000028128,F3,36.5317735,-8.01098859,2.293583156,-3.492783145,0.000478015,0.025781992
17135,ENSMUSG00000097564,C430014B12Rik,128.1979538,6.95032665,1.992447345,3.488336426,0.000486036,0.026134474
11705,ENSMUSG00000052364,B630019K06Rik,36.64494793,-8.015638865,2.300585323,-3.484173695,0.000493659,0.026401083
8362,ENSMUSG00000036352,Ubac1,6155.927037,4.321249567,1.240316189,3.483990296,0.000493997,0.026401083
17105,ENSMUSG00000097451,Rian,57.13678206,-8.65502499,2.485217736,-3.482602295,0.000496565,0.026457911
11610,ENSMUSG00000051586,Mical3,2631.095729,4.325787929,1.243147508,3.47970607,0.000501964,0.026664761
7260,ENSMUSG00000032411,Tfdp2,63688.0082,5.32377447,1.531167912,3.476937067,0.000507177,0.026860514
6157,ENSMUSG00000029922,Mkrn1,34695.72368,5.17820363,1.48979627,3.475779699,0.000509371,0.026895682
3497,ENSMUSG00000024042,Sik1,2613.715763,-2.514714991,0.725208361,-3.467575838,0.000525176,0.02764719
10087,ENSMUSG00000042333,Tnfrsf14,3746.246336,4.773747369,1.377558226,3.465368853,0.000529505,0.027791884
5319,ENSMUSG00000028132,Tlcd4,1561.374793,3.252715709,0.939991081,3.460368695,0.000539436,0.028223496
1656,ENSMUSG00000018796,Acsl1,17518.1237,4.670579806,1.350026848,3.459619941,0.000540938,0.028223496
8258,ENSMUSG00000035914,Cd276,37.36394113,-8.044024187,2.326444651,-3.457646922,0.000544915,0.028346867
12142,ENSMUSG00000055629,B4galnt4,77.96391982,-5.191758721,1.502098403,-3.456337289,0.00054757,0.028400937
17655,ENSMUSG00000102070,Gm28661,334159.0646,4.384082692,1.268950635,3.454888291,0.000550521,0.028470025
8167,ENSMUSG00000035498,Cdcp1,166.2667086,-4.988812242,1.444829374,-3.452872936,0.00055465,0.028527266
9934,ENSMUSG00000041729,Coro2b,36.4224013,-8.007038207,2.31940387,-3.452196624,0.000556042,0.028527266
5099,ENSMUSG00000027636,Sla2,174.8667684,-3.967509476,1.149344102,-3.451977061,0.000556495,0.028527266
10726,ENSMUSG00000045973,Slc25a51,31714.95541,5.004848121,1.454145831,3.441778681,0.000577903,0.029538564
11763,ENSMUSG00000052730,Gm5111,232.983211,-4.989271445,1.451551327,-3.437199465,0.000587763,0.029881602
4495,ENSMUSG00000026317,Cln8,5760.320558,4.954382399,1.441483573,3.437002329,0.000588191,0.029881602
2313,ENSMUSG00000020866,Cacna1g,2693.745874,15.46543887,4.500840382,3.436122492,0.000590104,0.029881602
14725,ENSMUSG00000079418,Atg4a,8982.473622,4.84730612,1.410937027,3.435522654,0.000591412,0.029881602
15205,ENSMUSG00000083012,Fam220a,7671.702473,5.428985314,1.581199629,3.43345977,0.000595931,0.030023634
5258,ENSMUSG00000028023,Pitx2,35.61591033,-7.974651125,2.324801757,-3.430249956,0.000603025,0.030294277
14317,ENSMUSG00000075014,Gm10800,37825.12572,6.201248042,1.810483236,3.42518943,0.000614371,0.030776306
8625,ENSMUSG00000037287,Tbcel,27058.39315,5.404087105,1.578669156,3.423191671,0.000618904,0.03091532
16634,ENSMUSG00000093954,Gm16867,15014.87232,7.436159706,2.174614578,3.419529962,0.000627294,0.03124565
10535,ENSMUSG00000044768,Macir,10252.88283,4.539673882,1.330076893,3.413091309,0.000642304,0.031902922
16451,ENSMUSG00000091941,Gm7399,69.7666301,7.471509406,2.189979411,3.411680205,0.000645638,0.031978182
19,ENSMUSG00000000154,Slc22a18,34.53742053,-7.929646876,2.325127317,-3.410414053,0.000648643,0.032036781
11961,ENSMUSG00000054252,Fgfr3,34.50365831,-7.928204807,2.326371726,-3.407969896,0.000654481,0.032234571
17681,ENSMUSG00000102202,Gm33280,451.2109592,6.764711985,1.985564525,3.406946438,0.00065694,0.032265305
986,ENSMUSG00000008393,Carhsp1,6410.408137,5.127594449,1.505965627,3.404854902,0.000661992,0.032360992
11483,ENSMUSG00000050860,Phospho1,723.4590898,5.687640508,1.670602982,3.40454349,0.000662747,0.032360992
8671,ENSMUSG00000037419,Endod1,4582.230941,3.773590224,1.108621116,3.403859237,0.00066441,0.032360992
16151,ENSMUSG00000089809,Rasgef1b,29.13218456,8.928572686,2.624654014,3.401809396,0.000669413,0.032514614
1846,ENSMUSG00000019966,Kitl,98.05183626,6.387463906,1.878115697,3.400995964,0.000671408,0.032521681
14520,ENSMUSG00000078350,Smim1,234.276674,3.384540568,0.996200829,3.397448055,0.000680175,0.032644635
11235,ENSMUSG00000049191,Rtl5,382.3081672,-2.37104013,0.697976822,-3.397018431,0.000681244,0.032644635
1731,ENSMUSG00000019437,Tlcd1,2276.519265,5.176582469,1.524113587,3.396454513,0.000682649,0.032644635
3906,ENSMUSG00000024924,Vldlr,1912.071736,-2.904088297,0.855211133,-3.395755954,0.000684394,0.032644635
6113,ENSMUSG00000029780,Nt5c3,23474.24208,4.825055826,1.420987442,3.395565424,0.00068487,0.032644635
7185,ENSMUSG00000032285,Dnaja4,4113.716855,5.462836902,1.608856019,3.395479046,0.000685086,0.032644635
4158,ENSMUSG00000025495,Ptdss2,2979.421181,4.793293601,1.412623776,3.393184854,0.00069085,0.032830313
6725,ENSMUSG00000031327,Chic1,92.47223184,-3.776155399,1.114118336,-3.389366531,0.000700543,0.033107399
18289,ENSMUSG00000104297,Gm38046,27.8265124,8.86269748,2.616340055,3.387440965,0.000705479,0.033107399
11816,ENSMUSG00000053113,Socs3,702.5007489,-2.575490502,0.760422969,-3.386918342,0.000706824,0.033107399
5379,ENSMUSG00000028270,Gbp2,1299.725441,-2.559135307,0.755658446,-3.386629661,0.000707568,0.033107399
3104,ENSMUSG00000022564,Grina,6139.364833,5.293476106,1.563423899,3.385822687,0.000709652,0.033107399
7083,ENSMUSG00000032034,Kcnj5,58.62890267,5.043563179,1.489773759,3.385455776,0.000710602,0.033107399
15508,ENSMUSG00000085125,Gm16070,108.8155351,-5.027458135,1.485558369,-3.384221205,0.000713805,0.033107399
8502,ENSMUSG00000036887,C1qa,324.0591225,6.883722394,2.034234182,3.383938023,0.000714541,0.033107399
18128,ENSMUSG00000103793,Pcdhga6,36.55935128,-8.012777445,2.368001218,-3.383772519,0.000714972,0.033107399
11223,ENSMUSG00000049103,Ccr2,3423.381882,3.220788052,0.951891587,3.383566044,0.00071551,0.033107399
5705,ENSMUSG00000028944,Prkag2,1157.253196,-2.646347815,0.782781995,-3.380695815,0.000723025,0.033367336
12017,ENSMUSG00000054641,Mmrn1,2429.483284,-2.832683844,0.83846743,-3.378406533,0.000729072,0.033488869
8511,ENSMUSG00000036905,C1qb,194.4930111,6.924391865,2.050073573,3.377630908,0.000731131,0.033488869
14534,ENSMUSG00000078486,Perm1,166.4973219,9.752635076,2.887763267,3.37722804,0.000732203,0.033488869
7930,ENSMUSG00000034664,Itga2b,1879.269766,1.912613539,0.566394061,3.376824845,0.000733277,0.033488869
9746,ENSMUSG00000040891,Foxa3,33.74281733,-7.896066649,2.339439967,-3.375195243,0.000737633,0.033600539
